ID,Aspecto,Categoría,Sentimiento,Evidencia,Fecha
62,Lugar,Infraestructura,Neutro,"Visit Loja and fly Paragliding, have breakfast and continue flying. Long live Loja",2018-03-06
63,Lugar,Infraestructura,Neutro,Educational visit to learn about the history of Loja...,
64,Lugar,Infraestructura,Neutro,"Visit of the Virgin Queen of the Swan (""La Churonita"")",2022-05-11
65,Far,Ubicación,Neutro,Farewell visit to the Virgin of El Cisne in Loja Cathedral,
66,City,Ubicación,Neutro,"Visit the Holy Virgin of the Swan, now that she is in the city of Loja until November 1, 2022",
67,Lugar,Infraestructura,Positivo,Visit is beautiful,
68,Tree,Naturaleza,Neutro,(Bolívar Street and Mercadillo) With temporary stores selling the delicious purple colada and bread figures,2022-08-11
68,Street,Transporte,Neutro,(Bolívar Street and Mercadillo) With temporary stores selling the delicious purple colada and bread figures,2022-08-11
68,Area,Ubicación,Neutro,Video of the colonial houses in the area surrounding Independence Square,2022-08-11
69,Lugar,Infraestructura,Neutro,Visit Loja,2019-11-08
70,Lugar,Infraestructura,Neutro,Truly a jewel of Lojana culture.,
71,City,Ubicación,Neutro,Truly this Plaza is an icon of the beauty and progress of the city of Loja-Ecuador,2018-10-03
72,Lugar,Infraestructura,Neutro,drug sale,2021-02-07
73,Lugar,Infraestructura,Neutro,Sale of computers and equipment and audio and DJ,
74,Rio,Naturaleza,Neutro,They sell various crafts from the region,2023-06-10
75,Lugar,Infraestructura,Neutro,Come and enjoy it,
76,Lugar,Infraestructura,Neutro,Educational vegetation,
77,Rio,Naturaleza,Neutro,Various monuments and history,
78,Price,Precio,Positivo,Variety of flowers at a good price and good care,
78,Flowers,Naturaleza,Positivo,Variety of flowers at a good price and good care,
79,Lugar,Infraestructura,Neutro,Variety of pool products trained,2019-02-08
80,Flowers,Naturaleza,Neutro,"Variety of plants, endemic flowers, a place for photography, walks, relaxation",2023-12-11
81,Eat,Gastronomía,Neutro,"Variety of plants and collection of orchids, family recreation areas",2019-08-06
81,Area,Ubicación,Neutro,"Variety of plants and collection of orchids, family recreation areas",2019-08-06
82,Lugar,Infraestructura,Neutro,"Variety of wild flora, simply wonderful",
83,Rio,Naturaleza,Neutro,Various themes to share with the family,2022-07-05
84,Food,Gastronomía,Neutro,"Various activities to spend the day, swimming pool
Nearby food",
84,Rio,Naturaleza,Neutro,"Various activities to spend the day, swimming pool
Nearby food",
84,Near,Ubicación,Neutro,"Various activities to spend the day, swimming pool
Nearby food",
85,Lugar,Infraestructura,Neutro,Let's see friends,2015-07-07
86,Worth,Precio,Positivo,It is worth visiting,2024-12-08
87,Lugar,Infraestructura,Neutro,Very vacant,2022-11-09
88,Lugar,Infraestructura,Neutro,vacancy,2019-08-07
89,Bus,Transporte,Neutro,pleasant to talk to and have a business meeting,
90,City,Ubicación,Neutro,"One of the oldest and most iconic Catholic temples in the city of Loja, next to it, is the Plaza de la Independencia",
91,Clean,Infraestructura,Positivo,"One of the best parks you have visited in Ecuador, this park is located in the beautiful city of Loja, very pleasant, clean, well maintained, ideal for family visits and photographic shots",
91,Park,Naturaleza,Positivo,"One of the best parks you have visited in Ecuador, this park is located in the beautiful city of Loja, very pleasant, clean, well maintained, ideal for family visits and photographic shots",
91,City,Ubicación,Positivo,"One of the best parks you have visited in Ecuador, this park is located in the beautiful city of Loja, very pleasant, clean, well maintained, ideal for family visits and photographic shots",
92,Eat,Gastronomía,Positivo,"One of the most beautiful theaters, emblem of the city of Loja",2021-04-12
92,City,Ubicación,Positivo,"One of the most beautiful theaters, emblem of the city of Loja",2021-04-12
93,City,Ubicación,Neutro,One of the most charming places in the city of Loja,
94,City,Ubicación,Neutro,One of the main tourist attractions of the city of Loja,
95,Police,Seguridad,Positivo,"One of the first parks in our beautiful city, it is very busy given the bus stop and for this reason caution should be taken despite having police surveillance",2023-12-03
95,Park,Naturaleza,Positivo,"One of the first parks in our beautiful city, it is very busy given the bus stop and for this reason caution should be taken despite having police surveillance",2023-12-03
95,Bus,Transporte,Positivo,"One of the first parks in our beautiful city, it is very busy given the bus stop and for this reason caution should be taken despite having police surveillance",2023-12-03
95,City,Ubicación,Positivo,"One of the first parks in our beautiful city, it is very busy given the bus stop and for this reason caution should be taken despite having police surveillance",2023-12-03
96,Park,Naturaleza,Positivo,"One of the most touristic and beautiful parks in Loja, perfect to go with children or family to enjoy a beautiful afternoon",2021-05-07
97,Park,Naturaleza,Positivo,"One of the most favorite parks I have, I like to go every weekend with my family or friends, to have a good time, it is very attractive",2020-10-02
98,Park,Naturaleza,Neutro,One of the busiest and most important parks in our city :),2018-05-12
98,Bus,Transporte,Neutro,One of the busiest and most important parks in our city :),2018-05-12
98,City,Ubicación,Neutro,One of the busiest and most important parks in our city :),2018-05-12
99,Park,Naturaleza,Positivo,One of the most beautiful parks in Loja,
100,Park,Naturaleza,Neutro,One of the emblematic parks of Loja,2023-02-03
101,Park,Naturaleza,Neutro,"One of the emblematic Parks of the City of Loja, where you can witness live ceibo trees",
101,City,Ubicación,Neutro,"One of the emblematic Parks of the City of Loja, where you can witness live ceibo trees",
102,People,Atención,Neutro,"One of the parks in Loja with the longest history, where people come to do various types of sports and get away from their daily routine",
102,Rio,Naturaleza,Neutro,"One of the parks in Loja with the longest history, where people come to do various types of sports and get away from their daily routine",
103,Park,Naturaleza,Neutro,One of the central parks of Loja where its surroundings are full of traditional gastronomy,
103,Central,Ubicación,Neutro,One of the central parks of Loja where its surroundings are full of traditional gastronomy,
104,Eat,Gastronomía,Neutro,"One of the central parks of Loja where you can find places to eat, there are also hardware stores, bus and taxi stops",2018-11-12
104,Park,Naturaleza,Neutro,"One of the central parks of Loja where you can find places to eat, there are also hardware stores, bus and taxi stops",2018-11-12
104,Taxi,Transporte,Neutro,"One of the central parks of Loja where you can find places to eat, there are also hardware stores, bus and taxi stops",2018-11-12
104,Central,Ubicación,Neutro,"One of the central parks of Loja where you can find places to eat, there are also hardware stores, bus and taxi stops",2018-11-12
105,Park,Naturaleza,Positivo,One of the beautiful parks that Loja has,2023-08-03
106,Eat,Gastronomía,Neutro,"One of the best, oldest and classic theaters in the city of Loja, which was remodeled a couple of years ago",2018-04-09
106,Rio,Naturaleza,Neutro,its façade completely and its interior partially,2018-04-09
106,City,Ubicación,Neutro,"One of the best, oldest and classic theaters in the city of Loja, which was remodeled a couple of years ago",2018-04-09
107,Lugar,Infraestructura,Neutro,One of the best temples,
108,Eat,Gastronomía,Positivo,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja",2024-07-06
108,View,Naturaleza,Positivo,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja",2024-07-06
108,Location,Ubicación,Positivo,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja",2024-07-06
109,Eat,Gastronomía,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family",2021-03-11
109,Park,Naturaleza,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family",2021-03-11
109,Parking,Transporte,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family",2021-03-11
109,Area,Ubicación,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family",2021-03-11
110,Park,Naturaleza,Neutro,One of the best parks that Loja has,2019-02-07
111,Park,Naturaleza,Neutro,One of the best parks in the city of Loja,2020-03-09
111,City,Ubicación,Neutro,One of the best parks in the city of Loja,2020-03-09
112,Park,Naturaleza,Neutro,One of the best parks in Loja,2019-06-05
113,Lugar,Infraestructura,Neutro,One of the best places that reveal the Lojana identity,
114,Lugar,Infraestructura,Positivo,One of the best places in my beautiful Ecuador,2021-10-07
115,City,Ubicación,Neutro,One of the best places in the city,
116,Lugar,Infraestructura,Positivo,"One of the best arts in acoustic construction, beautiful stage... a gift for Ecuadorians and Ecuador",
117,Eat,Gastronomía,Neutro,One of the best theaters in Ecuador,2022-03-09
118,Lugar,Infraestructura,Positivo,One of the most beautiful places in Loja.,
119,Lugar,Infraestructura,Positivo,One of the landmarks of beautiful Loja.,
120,City,Ubicación,Neutro,One of the places that characterizes it and makes the city touristy,
121,Lugar,Infraestructura,Neutro,One of the places you should visit if you go to Loja,
122,Near,Ubicación,Positivo,"One of the places to visit when you are in the city, the architecture is beautiful and the nearby monuments are striking",2023-04-01
123,Lugar,Infraestructura,Neutro,One of the very wonderful places that Loja has,2020-07-12
124,Lugar,Infraestructura,Neutro,One of the most representative places in Loja.,
125,People,Atención,Positivo,"One of the most interesting places to visit in Loja, the people are very friendly and the exhibitions are very interesting",2018-05-10
125,City,Ubicación,Positivo,It is not very big but what it has is very emblematic for the city,2018-05-10
126,Lugar,Infraestructura,Positivo,One of the most interesting places in Loja. The way of life of cloistered mothers and their precepts,2020-10-03
127,Lugar,Infraestructura,Positivo,One of the most beautiful places in Loja.,2022-01-10
128,City,Ubicación,Neutro,One of the icons of our city,
129,Lugar,Infraestructura,Neutro,"One of the oldest convents in Loja, its church is adorned with magnificent murals, recommended for a",2022-04-04
130,City,Ubicación,Positivo,"One of the most beautiful attractions of the city, its architecture, history, design and conservation",2023-05-12
131,Lugar,Infraestructura,Neutro,"Unique, I will always think so. Loja is this square and much more",
132,Lugar,Infraestructura,Neutro,"Unique, different",2019-09-08
133,Landscape,Naturaleza,Neutro,Unique and surrounded by an unparalleled landscape,
134,Eat,Gastronomía,Neutro,Only theater so complete,
134,Service,Atención,Neutro,Only public institution with high standards and quality of service,
135,Lugar,Infraestructura,Neutro,Unique in the world,2018-11-09
136,Lugar,Infraestructura,Positivo,Unique beautiful and magical,2018-09-08
137,Lugar,Infraestructura,Neutro,Only,
138,Lugar,Infraestructura,Neutro,Only,
139,Lugar,Infraestructura,Neutro,Unique and unmatched..,2024-02-07
140,Lugar,Infraestructura,Neutro,Unique,
141,Lugar,Infraestructura,Neutro,Some impressive images,2020-10-09
142,Lugar,Infraestructura,Neutro,One of the best churches in Loja,
143,Lugar,Infraestructura,Positivo,A. Nice church well lit at night. Its domes can be seen in the distance.,2020-10-03
144,Far,Ubicación,Neutro,One of many trips to the wind farm brought us fog,
145,View,Naturaleza,Neutro,A unique view,
146,View,Naturaleza,Neutro,A magnificent view of the central area of ​​the city,2019-10-01
146,Area,Ubicación,Neutro,A magnificent view of the central area of ​​the city,2019-10-01
147,View,Naturaleza,Neutro,A magnificent view,2021-06-11
148,View,Naturaleza,Neutro,An impressive view,2022-11-08
149,View,Naturaleza,Positivo,a beautiful view,2021-07-03
150,Lugar,Infraestructura,Neutro,A true natural relic of UNL,
151,Lugar,Infraestructura,Neutro,A spectacular evening,2022-06-05
152,Center,Ubicación,Positivo,"A very beautiful Tower, it has a clock that lights up in a special way at night, it is in the historic center of the city and belongs to the obligatory route for tourists who like the history and colonial art of the republican cities, along with the Iglesias of San Sebastian",
153,Lugar,Infraestructura,Neutro,A spectacular afternoon in Loja...,
154,Clean,Infraestructura,Positivo,"A cultural representation of Loja, a very nice and clean place as well as pleasant",
155,Worth,Precio,Positivo,A door worthy of a beautiful and beautiful city,
155,City,Ubicación,Positivo,A door worthy of a beautiful and beautiful city,
156,Lugar,Infraestructura,Neutro,A very historic square with its cathedral and museums.,2023-04-10
157,Restaurant,Gastronomía,Neutro,a central location and in its surroundings many restaurants and various shops,
157,Rio,Naturaleza,Neutro,a central location and in its surroundings many restaurants and various shops,
157,Location,Ubicación,Neutro,a central location and in its surroundings many restaurants and various shops,
158,Clean,Infraestructura,Positivo,A very clean square and a place to sit and watch the people pass by and watch the pigeons and birds,
158,People,Atención,Positivo,A very clean square and a place to sit and watch the people pass by and watch the pigeons and birds,
159,Tree,Naturaleza,Positivo,A very beautiful square surrounded by trees and a beautiful Gothic style church,2018-02-10
160,Eat,Gastronomía,Positivo,A very beautiful square with space for family recreation,
161,Lugar,Infraestructura,Neutro,A very large square and well lit at night. The photos look incredible.,2016-11-11
162,Lugar,Infraestructura,Positivo,"A very nice, quiet square and around it there are several places to go.",
163,Clean,Infraestructura,Positivo,"A very nice, clean and tidy square, plus every Thursday there are cultural events, concerts, etc",
164,Lugar,Infraestructura,Positivo,"A very beautiful square, with a lot of history. One of the places to visit that should be on your li",2022-06-11
165,Clean,Infraestructura,Positivo,A very nice square and always clean,
166,Lugar,Infraestructura,Positivo,A very nice square to visit and sightsee.,2021-05-10
167,Lugar,Infraestructura,Positivo,"A very beautiful square with the clock on the tower and a stage where artistic shows are held, recen",
168,Lugar,Infraestructura,Positivo,A very beautiful square. I met her before the Loja festival and she was illuminated,
169,Bus,Transporte,Neutro,It is one of the busiest in the city,2019-12-02
169,City,Ubicación,Neutro,It is one of the busiest in the city,2019-12-02
170,Lugar,Infraestructura,Neutro,"A square of the best, the best is on Thursday nights",
171,Lugar,Infraestructura,Positivo,A square with a very beautiful monument to visit,
172,Free,Precio,Positivo,"Where children give free rein to play and run around the pigeons that wait for passersby to share a little corn that they get for a few cents, under the shade of some trees and at the foot of the Church of Santo Domingo with a unique architecture that is linked to urban modernity",
172,People,Atención,Positivo,"A square with history, where people live and travel daily with the Loja culture",
172,Tree,Naturaleza,Positivo,"Where children give free rein to play and run around the pigeons that wait for passersby to share a little corn that they get for a few cents, under the shade of some trees and at the foot of the Church of Santo Domingo with a unique architecture that is linked to urban modernity",
173,Lugar,Infraestructura,Neutro,"A colonial plaza, where there are a variety of artistic presentations",2018-09-02
174,Lugar,Infraestructura,Neutro,A colonial square where the church of San Francisco is located,
175,Area,Ubicación,Positivo,"In addition to having picnic areas, the place lends itself to photo sessions",
176,Lugar,Infraestructura,Neutro,A work of art. very pretty,2023-10-06
177,View,Naturaleza,Positivo,A very good view to observe the city and enjoy nature,
177,City,Ubicación,Positivo,A very good view to observe the city and enjoy nature,
178,Lugar,Infraestructura,Positivo,Very good acoustics,
179,Lugar,Infraestructura,Positivo,A very nice square where you can spend time with friends and one that I recommend visiting.,2016-04-04
180,Lugar,Infraestructura,Positivo,"A very nice walk, as a recommendation, go up with a water poncho. There are days when it rains too m",
181,Lugar,Infraestructura,Positivo,A beautiful wonder.,2022-10-11
182,Park,Naturaleza,Neutro,A wonderful park with many games,
183,Area,Ubicación,Positivo,"A marvel of architecture, which enchants one of the most touristic areas of my beloved Loja, whenever I can I pass by here and take a couple of photos because for me, every day is different",2021-09-04
184,Lugar,Infraestructura,Neutro,a wonder,
185,Lugar,Infraestructura,Neutro,A wonder,
186,Lugar,Infraestructura,Positivo,A nice square,2023-02-06
187,Lugar,Infraestructura,Positivo,"A nice play, very interesting.",
188,Lugar,Infraestructura,Positivo,A nice experience,
189,City,Ubicación,Positivo,a nice city,
190,Lugar,Infraestructura,Positivo,A beautiful Cathedral,
191,Nature,Naturaleza,Neutro,A very wide lagoon horseback riding the mini cruise train the big train the nature itself is a charm,
192,Tree,Naturaleza,Neutro,A large lagoon around grass trees birds ducks very pretty,
193,Fee,Precio,Neutro,accompanied by children's games and ducks to feed,2019-02-06
194,Lugar,Infraestructura,Neutro,A religious jewel that we Loja Catholics have,
195,City,Ubicación,Neutro,"A jewel of the heritage architecture of the city of Loja, it offers the right environment for the development of culture, evoking a classic air full of history",
196,Lugar,Infraestructura,Neutro,A colonial gem in Loja,2019-06-03
197,River,Naturaleza,Neutro,An irresponsibility in the trails are collapsed with falls of more than 5 meters to the river,
198,Lugar,Infraestructura,Neutro,"A modern and enormous infrastructure, a perfect setting to promote the arts of Ecuador",
199,Lugar,Infraestructura,Neutro,An impressive infrastructure.,
200,Lugar,Infraestructura,Neutro,"A church rich in art, each of its walls tells fragments of the Bible",
201,Worth,Precio,Positivo,"A church that is worth visiting for its colors, its gigantic, colorful doors",
202,Eat,Gastronomía,Positivo,"A heritage church of our City of Loja, with an incomparable artistic wealth, where there are paintings and canvases of religious expressions by great masters",2024-05-09
202,City,Ubicación,Positivo,"A heritage church of our City of Loja, with an incomparable artistic wealth, where there are paintings and canvases of religious expressions by great masters",2024-05-09
203,Safe,Seguridad,Positivo,A very comfortable church for Catholics and devotees of the divine child Jesus and all safety regulations,2021-08-09
204,Central,Ubicación,Positivo,"A very beautiful church, located in the central square of Loja",
205,Park,Naturaleza,Positivo,"A very beautiful church, it has a park that lights up in a special way at night, it is in the historic center of the city and belongs to the obligatory route for tourists who like the history and colonial art of the republican cities, along with the clock tower that makes a photographic place par excellence",
205,Center,Ubicación,Positivo,"A very beautiful church, it has a park that lights up in a special way at night, it is in the historic center of the city and belongs to the obligatory route for tourists who like the history and colonial art of the republican cities, along with the clock tower that makes a photographic place par excellence",
206,Lugar,Infraestructura,Neutro,A very well preserved church maintained in its original style,
207,Lugar,Infraestructura,Neutro,A very welcoming church,2023-05-06
208,Lugar,Infraestructura,Neutro,A wonderful church,2020-02-03
209,Lugar,Infraestructura,Neutro,"An impressive and iconic church in Loja.
It has impressive baroque religious art. Sculptures and Pai",2018-07-01
210,Clean,Infraestructura,Positivo,"A church with a lot of history in the Valley sector, an icon of this place, very clean and orderly, a simple church but with a lot of tradition since the city of Loja began",
210,City,Ubicación,Positivo,"A church with a lot of history in the Valley sector, an icon of this place, very clean and orderly, a simple church but with a lot of tradition since the city of Loja began",
211,Calle,Transporte,Positivo,"Next to it is the Franciscan convent, hence the church called San Francisco",
212,Lugar,Infraestructura,Positivo,"A beautiful church inside and out, if you want to go to pray, a beautiful spiritual place of the Rom",
213,Lugar,Infraestructura,Positivo,A beautiful church...,
214,View,Naturaleza,Positivo,A beautiful view of the city Loja,2021-02-10
214,City,Ubicación,Positivo,A beautiful view of the city Loja,2021-02-10
215,Fee,Precio,Positivo,A beautiful view of the city and a beautiful place to enjoy a coffee,2021-03-04
215,View,Naturaleza,Positivo,A beautiful view of the city and a beautiful place to enjoy a coffee,2021-03-04
215,City,Ubicación,Positivo,A beautiful view of the city and a beautiful place to enjoy a coffee,2021-03-04
216,View,Naturaleza,Positivo,A beautiful view of the city,
216,City,Ubicación,Positivo,A beautiful view of the city,
217,Lugar,Infraestructura,Positivo,A beautiful square,2021-10-09
218,Lugar,Infraestructura,Positivo,A beautiful Franciscan church.,2021-10-06
219,Center,Ubicación,Positivo,A beautiful church in the center of Loja,2020-04-11
220,Lugar,Infraestructura,Positivo,"Beautiful architecture, a spacious place with walls full of art.",2019-09-01
221,Eat,Gastronomía,Positivo,"A great journey whether by bicycle or walking, with unique views and an atmosphere full of peace and tranquility",
221,View,Naturaleza,Positivo,"A great journey whether by bicycle or walking, with unique views and an atmosphere full of peace and tranquility",
222,Eat,Gastronomía,Positivo,A great work of art,
223,Eat,Gastronomía,Positivo,A great improvement in your appearance,
224,Eat,Gastronomía,Positivo,A great experience,2021-06-10
225,Eat,Gastronomía,Positivo,could leave us with a pleasant impression that we are in an era of great changes,
225,Fee,Precio,Positivo,"A drop of energy excellence to feed the state interconnected system, a battle between David and Goliath",
225,View,Naturaleza,Positivo,"This energy park allows us to enjoy beautiful views of the city, but most importantly",
225,City,Ubicación,Positivo,"This energy park allows us to enjoy beautiful views of the city, but most importantly",
226,Lugar,Infraestructura,Neutro,A unique experience,2018-01-05
227,Lugar,Infraestructura,Neutro,A unique experience,
228,Lugar,Infraestructura,Neutro,a unique experience,
229,Eat,Gastronomía,Positivo,"A very good sensory experience with large green areas, children's games, sports fields and different recreation areas",
229,Green,Naturaleza,Positivo,"A very good sensory experience with large green areas, children's games, sports fields and different recreation areas",
229,Area,Ubicación,Positivo,"A very good sensory experience with large green areas, children's games, sports fields and different recreation areas",
230,Lugar,Infraestructura,Positivo,A very good experience,2023-01-02
231,Clean,Infraestructura,Positivo,"A very pleasant experience, very good clean park, the vegetation a little neglected but a good place to go out and have fun",
231,Park,Naturaleza,Positivo,"A very pleasant experience, very good clean park, the vegetation a little neglected but a good place to go out and have fun",
232,Lugar,Infraestructura,Neutro,A very pleasant experience,2019-08-09
233,Lugar,Infraestructura,Neutro,A wonderful experience,
234,Lugar,Infraestructura,Neutro,An incredible experience to experience in this place at the Loja International Festival of Living Ar,2023-12-12
235,Eat,Gastronomía,Positivo,A great experience,2024-04-06
236,Eat,Gastronomía,Positivo,A great experience,
237,Eat,Gastronomía,Positivo,"An almost magical experience ☺️ since it has a little bit of everything, just leave it to your imagination, visiting it will be a great adventure",
238,Lugar,Infraestructura,Neutro,An environmental and adventure experience in all its splendor,2018-08-07
239,Lugar,Infraestructura,Positivo,An excellent afternoon,2019-01-09
240,Lugar,Infraestructura,Positivo,"an excellent place to relax and get rid of stress, very nice place",2022-03-07
241,Park,Naturaleza,Positivo,An excellent option for the family in general since it is a very interactive park for both children and adults,2019-01-09
242,Lugar,Infraestructura,Positivo,An excellent decision,
243,Lugar,Infraestructura,Positivo,An excellent hike,
244,Eat,Gastronomía,Positivo,I don't know if it has any other function besides contributing to the ornamentation of the city but it looks great,2021-11-09
244,City,Ubicación,Positivo,I don't know if it has any other function besides contributing to the ornamentation of the city but it looks great,2021-11-09
