ID,Aspecto,Categoría,Sentimiento,Evidencia,Fecha
15,It is true that the service is terrible,Atención,Neutro,"I made a purchase of ceramics...the lady who assisted me took out the amount of pegacer plus 25 kilos...total that the masters installed the ceramics there was a surplus of 9 covers of 25 kilos.I called the lady who sold me that he receive me because there is a lot of leftover material and he knew how to tell me that he cannot receive it... and he made an exception and told me to bring it to him but that he would not give me the money back but rather he would give me the material and after a month... It is somewhat unfair. And it is true that the service is terrible. The saleswomen should tell the clients that if there is excess, there is no refund to get a quote from the architect who is doing the work and not from the ladies who serve.",2023-05-28
18,I accessed the park from loja,Naturaleza,Neutro,"I accessed the park from Loja, it is essential to go by car or taxi. From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do. One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers. This is the one we did. It is essential to wear boots and be well dressed (if you go in August at least) since it rains up there no matter what, and there are muddy patches that reach your knees.
The access part through Zamora is much better.",2017-09-28
18,Essential to go by car or taxi,Transporte,Neutro,"I accessed the park from Loja, it is essential to go by car or taxi. From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do. One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers. This is the one we did. It is essential to wear boots and be well dressed (if you go in August at least) since it rains up there no matter what, and there are muddy patches that reach your knees.
The access part through Zamora is much better.",2017-09-28
18,Better for the taxi to take you there (it cost us $10,Precio,Neutro,"I accessed the park from Loja, it is essential to go by car or taxi. From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do. One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers. This is the one we did. It is essential to wear boots and be well dressed (if you go in August at least) since it rains up there no matter what, and there are muddy patches that reach your knees.
The access part through Zamora is much better.",2017-09-28
18,From the loja part you have 3 trails to do,Naturaleza,Neutro,"I accessed the park from Loja, it is essential to go by car or taxi. From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do. One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers. This is the one we did. It is essential to wear boots and be well dressed (if you go in August at least) since it rains up there no matter what, and there are muddy patches that reach your knees.
The access part through Zamora is much better.",2017-09-28
18,Another of 300m and the one with the viewpoints which are 5 kilometers,Naturaleza,Negativo,"I accessed the park from Loja, it is essential to go by car or taxi. From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do. One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers. This is the one we did. It is essential to wear boots and be well dressed (if you go in August at least) since it rains up there no matter what, and there are muddy patches that reach your knees.
The access part through Zamora is much better.",2017-09-28
18,The access part through zamora is much better,Transporte,Neutro,"I accessed the park from Loja, it is essential to go by car or taxi. From the bottom to the refuge it is an 8 kilometer climb, it is better for the taxi to take you there (it cost us $10, then we talked to him to come pick us up)
From the Loja part you have 3 trails to do. One of 700m, another of 300m and the one with the viewpoints which are 5 kilometers. This is the one we did. It is essential to wear boots and be well dressed (if you go in August at least) since it rains up there no matter what, and there are muddy patches that reach your knees.
The access part through Zamora is much better.",2017-09-28
21,The place already needs a lot of maintenance,Infraestructura,Neutro,The place already needs a lot of maintenance,2023-10-29
22,I already miss the christmas lights,Infraestructura,Neutro,I already miss the Christmas lights,2022-01-18
24,There is almost no green area,Naturaleza,Neutro,"There is almost no green area, it is full of monuments and the children no longer have anywhere to have fun.",2024-02-01
27,Because my workplace is close to there,Infraestructura,Neutro,Because my workplace is close to there.,2016-12-18
30,A nice park to go out with the family,Naturaleza,Positivo,For its variety...a nice park to go out with the family...,2020-02-01
33,X the flora and fauna very nice place to walk,Infraestructura,Positivo,X the flora and fauna very nice place to walk.,2018-07-31
36,Woooow i like nature,Naturaleza,Neutro,"Woooow I like nature, walking its trails, seeing the flora and fauna, this park has everything...I recommend",2023-07-15
36,Walking its trails,Naturaleza,Neutro,"Woooow I like nature, walking its trails, seeing the flora and fauna, this park has everything...I recommend",2023-07-15
36,Seeing the flora and fauna,Naturaleza,Neutro,"Woooow I like nature, walking its trails, seeing the flora and fauna, this park has everything...I recommend",2023-07-15
36,This park has everything,Naturaleza,Neutro,"Woooow I like nature, walking its trails, seeing the flora and fauna, this park has everything...I recommend",2023-07-15
51,Panoramic view,Naturaleza,Neutro,"Panoramic view, no parking area, ample space",2021-09-20
51,No parking area,Naturaleza,Neutro,"Panoramic view, no parking area, ample space",2021-09-20
56,Live the best plays,Infraestructura,Positivo,Live the best plays,2018-01-30
59,Tree landscape views,Naturaleza,Neutro,Tree landscape views. Lagoon trails,2019-06-14
59,Lagoon trails,Naturaleza,Neutro,Tree landscape views. Lagoon trails,2019-06-14
60,Beautiful view and delicious cafes around,Gastronomía,Positivo,Beautiful view and delicious cafes around,2024-03-04
61,Great,Gastronomía,Positivo,"Great, panoramic view of Loja.",2021-02-09
61,Panoramic view of loja,Naturaleza,Neutro,"Great, panoramic view of Loja.",2021-02-09
62,Spectacular sunset view,Naturaleza,Neutro,Spectacular sunset view,2023-05-07
63,Spectacular view,Naturaleza,Neutro,Spectacular view,2019-07-14
64,Nice view of the city,Naturaleza,Positivo,"Nice view of the city.
Lack of more security",2019-09-07
64,Lack of more security,Seguridad,Neutro,"Nice view of the city.
Lack of more security",2019-09-07
65,Very clean,Infraestructura,Positivo,"Visit it in Loja, very clean",2020-11-22
67,Visit the daniel alvarez la laguna park,Naturaleza,Neutro,"Visit the Daniel Alvarez La Laguna park, it has a beautiful natural landscape, with charming games for children and adults, and you can also enjoy fresh, unpolluted air.",2023-11-25
67,It has a beautiful natural landscape,Naturaleza,Positivo,"Visit the Daniel Alvarez La Laguna park, it has a beautiful natural landscape, with charming games for children and adults, and you can also enjoy fresh, unpolluted air.",2023-11-25
67,With charming games for children and adults,Infraestructura,Neutro,"Visit the Daniel Alvarez La Laguna park, it has a beautiful natural landscape, with charming games for children and adults, and you can also enjoy fresh, unpolluted air.",2023-11-25
67,Unpolluted air,Naturaleza,Neutro,"Visit the Daniel Alvarez La Laguna park, it has a beautiful natural landscape, with charming games for children and adults, and you can also enjoy fresh, unpolluted air.",2023-11-25
68,Visiting it is knowing something more about our history and city,Ubicación,Neutro,Visiting it is knowing something more about our history and city.,2024-09-25
69,Visiting the central park along with the city museum is essential and very pleasant,Naturaleza,Neutro,Visiting the central park along with the city museum is essential and very pleasant. The local cafes are very cozy.,2024-08-22
69,The local cafes are very cozy,Gastronomía,Neutro,Visiting the central park along with the city museum is essential and very pleasant. The local cafes are very cozy.,2024-08-22
70,Visit a good place to de-skill,Infraestructura,Positivo,Visit a good place to de-skill,2021-09-27
71,Foreigners and nationals adorn the artistic delights of this park,Infraestructura,Neutro,Visitors; Foreigners and nationals adorn the artistic delights of this park; the ride in its lagoon and bicycles from the Cabildo Lojano.,2023-11-27
77,Visited by many tourists,Ubicación,Neutro,Visited by many tourists,2019-09-04
79,Must visit for tourists,Ubicación,Neutro,Must visit for tourists,2018-12-13
80,Have breakfast and continue flying,Gastronomía,Neutro,"Visit Loja and fly Paragliding, have breakfast and continue flying. Long live Loja",2018-06-03
83,Farewell visit to the virgin of el cisne in loja cathedral,Ubicación,Positivo,Farewell visit to the Virgin of El Cisne in Loja Cathedral,2023-09-16
84,Now that she is in the city of loja until november 1,Ubicación,Neutro,"Visit the Holy Virgin of the Swan, now that she is in the city of Loja until November 1, 2022.",2022-09-23
86,Video of the colonial houses in the area surrounding independence square,Ubicación,Neutro,Video of the colonial houses in the area surrounding Independence Square. (Bolívar Street and Mercadillo) With temporary stores selling the delicious purple colada and bread figures.,2022-11-08
86,Bolívar street and mercadillo) with temporary stores selling the delicious purple colada and bread figures,Naturaleza,Neutro,Video of the colonial houses in the area surrounding Independence Square. (Bolívar Street and Mercadillo) With temporary stores selling the delicious purple colada and bread figures.,2022-11-08
109,Truly this plaza is an icon of the beauty and progress of the city of loja-ecuador,Ubicación,Neutro,Truly this Plaza is an icon of the beauty and progress of the city of Loja-Ecuador.,2018-03-10
112,They sell various crafts from the region,Naturaleza,Neutro,They sell various crafts from the region,2023-10-06
115,Various monuments and history,Naturaleza,Neutro,Various monuments and history,2020-11-20
116,Variety of flowers at a good price and good care,Precio,Positivo,Variety of flowers at a good price and good care,2021-02-14
118,Endemic flowers,Naturaleza,Neutro,"Variety of plants, endemic flowers, a place for photography, walks, relaxation.",2023-11-12
118,A place for photography,Infraestructura,Neutro,"Variety of plants, endemic flowers, a place for photography, walks, relaxation.",2023-11-12
119,Family recreation areas,Gastronomía,Neutro,"Variety of plants and collection of orchids, family recreation areas",2019-06-08
121,Various themes to share with the family,Naturaleza,Neutro,Various themes to share with the family,2022-05-07
122,Various activities to spend the day,Naturaleza,Neutro,"Various activities to spend the day, swimming pool
Nearby food",2024-06-23
122,Nearby food,Gastronomía,Neutro,"Various activities to spend the day, swimming pool
Nearby food",2024-06-23
123,Let's see friends,Naturaleza,Neutro,Let's see friends,2015-07-07
125,Worth visiting,Precio,Positivo,It is worth visiting,2024-08-12
128,Pleasant to talk to and have a business meeting,Transporte,Neutro,It is improving... and much... pleasant to talk to and have a business meeting.,2019-07-16
129,One of the oldest and most iconic catholic temples in the city of loja,Ubicación,Neutro,"One of the oldest and most iconic Catholic temples in the city of Loja, next to it, is the Plaza de la Independencia. Ideal to take some photos",2019-07-16
130,One of the best parks you have visited in ecuador,Naturaleza,Positivo,"One of the best parks you have visited in Ecuador, this park is located in the beautiful city of Loja, very pleasant, clean, well maintained, ideal for family visits and photographic shots.",2021-12-16
130,This park is located in the beautiful city of loja,Naturaleza,Positivo,"One of the best parks you have visited in Ecuador, this park is located in the beautiful city of Loja, very pleasant, clean, well maintained, ideal for family visits and photographic shots.",2021-12-16
130,Clean,Infraestructura,Positivo,"One of the best parks you have visited in Ecuador, this park is located in the beautiful city of Loja, very pleasant, clean, well maintained, ideal for family visits and photographic shots.",2021-12-16
131,One of the most beautiful theaters,Gastronomía,Positivo,"One of the most beautiful theaters, emblem of the city of Loja.",2021-12-04
131,Emblem of the city of loja,Ubicación,Neutro,"One of the most beautiful theaters, emblem of the city of Loja.",2021-12-04
132,One of the most charming places in the city of loja,Infraestructura,Neutro,One of the most charming places in the city of Loja,2019-09-30
133,One of the main tourist attractions of the city of loja,Ubicación,Neutro,One of the main tourist attractions of the city of Loja,2017-09-16
134,One of the first parks in our beautiful city,Naturaleza,Positivo,"One of the first parks in our beautiful city, it is very busy given the bus stop and for this reason caution should be taken despite having police surveillance.",2023-03-12
134,Very busy given the bus stop and for this reason caution should be taken despite having police surveillance,Seguridad,Neutro,"One of the first parks in our beautiful city, it is very busy given the bus stop and for this reason caution should be taken despite having police surveillance.",2023-03-12
135,One of the most touristic and beautiful parks in loja,Naturaleza,Positivo,"One of the most touristic and beautiful parks in Loja, perfect to go with children or family to enjoy a beautiful afternoon",2021-07-05
136,One of the most favorite parks i have,Naturaleza,Neutro,"One of the most favorite parks I have, I like to go every weekend with my family or friends, to have a good time, it is very attractive",2020-02-10
137,One of the busiest and most important parks in our city :),Naturaleza,Neutro,One of the busiest and most important parks in our city :),2018-12-05
138,One of the most beautiful parks in loja,Naturaleza,Positivo,One of the most beautiful parks in Loja.,2023-08-23
139,One of the emblematic parks of loja,Naturaleza,Neutro,One of the emblematic parks of Loja,2023-03-02
140,One of the emblematic parks of the city of loja,Naturaleza,Neutro,"One of the emblematic Parks of the City of Loja, where you can witness live ceibo trees. A place that is suitable to visit during the day.",2016-08-24
140,Where you can witness live ceibo trees,Naturaleza,Neutro,"One of the emblematic Parks of the City of Loja, where you can witness live ceibo trees. A place that is suitable to visit during the day.",2016-08-24
140,A place that is suitable to visit during the day,Infraestructura,Neutro,"One of the emblematic Parks of the City of Loja, where you can witness live ceibo trees. A place that is suitable to visit during the day.",2016-08-24
141,One of the parks in loja with the longest history,Naturaleza,Neutro,"One of the parks in Loja with the longest history, where people come to do various types of sports and get away from their daily routine.",2023-07-30
141,Where people come to do various types of sports and get away from their daily routine,Atención,Neutro,"One of the parks in Loja with the longest history, where people come to do various types of sports and get away from their daily routine.",2023-07-30
142,One of the central parks of loja where its surroundings are full of traditional gastronomy,Naturaleza,Neutro,One of the central parks of Loja where its surroundings are full of traditional gastronomy,2019-05-18
143,One of the central parks of loja where you can find places to eat,Gastronomía,Neutro,"One of the central parks of Loja where you can find places to eat, there are also hardware stores, bus and taxi stops. I don't know if it is recommended to go at night.",2018-12-11
143,Bus and taxi stops,Transporte,Neutro,"One of the central parks of Loja where you can find places to eat, there are also hardware stores, bus and taxi stops. I don't know if it is recommended to go at night.",2018-12-11
144,One of the beautiful parks that loja has,Naturaleza,Positivo,One of the beautiful parks that Loja has,2023-03-08
145,Oldest and classic theaters in the city of loja,Gastronomía,Neutro,"One of the best, oldest and classic theaters in the city of Loja, which was remodeled a couple of years ago; its façade completely and its interior partially. This theater presents a variety of plays, dance and music throughout the year and is also home to the Loja Sobre Tablas festival and one of the venues for the International Festival of Living Arts.

A must visit for locals and tourists.",2018-09-04
145,Its façade completely and its interior partially,Naturaleza,Neutro,"One of the best, oldest and classic theaters in the city of Loja, which was remodeled a couple of years ago; its façade completely and its interior partially. This theater presents a variety of plays, dance and music throughout the year and is also home to the Loja Sobre Tablas festival and one of the venues for the International Festival of Living Arts.

A must visit for locals and tourists.",2018-09-04
145,This theater presents a variety of plays,Gastronomía,Neutro,"One of the best, oldest and classic theaters in the city of Loja, which was remodeled a couple of years ago; its façade completely and its interior partially. This theater presents a variety of plays, dance and music throughout the year and is also home to the Loja Sobre Tablas festival and one of the venues for the International Festival of Living Arts.

A must visit for locals and tourists.",2018-09-04
145,A must visit for locals and tourists,Ubicación,Neutro,"One of the best, oldest and classic theaters in the city of Loja, which was remodeled a couple of years ago; its façade completely and its interior partially. This theater presents a variety of plays, dance and music throughout the year and is also home to the Loja Sobre Tablas festival and one of the venues for the International Festival of Living Arts.

A must visit for locals and tourists.",2018-09-04
147,One of the best theaters currently in ecuador,Gastronomía,Positivo,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja.",2024-06-07
147,A good view of the stage from any location,Naturaleza,Positivo,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja.",2024-06-07
147,The seats are very comfortable and the entire theater itself is very good,Gastronomía,Positivo,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja.",2024-06-07
147,Recommended to visit in the city of loja,Ubicación,Neutro,"One of the best theaters currently in Ecuador, a good view of the stage from any location, the acoustics are very good, the seats are very comfortable and the entire theater itself is very good, recommended to visit in the city of Loja.",2024-06-07
148,One of the best theme parks in ecuador,Naturaleza,Positivo,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
148,The most visited in the city of loja,Ubicación,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
148,It has large recreational areas,Gastronomía,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
148,The zamora river crosses it,Naturaleza,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
148,An airplane,Naturaleza,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
148,Large parking areas,Naturaleza,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
148,Ideal place to spend with the family,Infraestructura,Neutro,"One of the best theme parks in Ecuador , and the most visited in the city of Loja, it has large recreational areas, a lake, sports fields, a municipal swimming pool, the Zamora River crosses it, there is a train machine, an airplane, Large parking areas, ideal place to spend with the family.",2021-11-03
149,One of the best parks that loja has,Naturaleza,Positivo,One of the best parks that Loja has,2019-07-02
150,One of the best parks in the city of loja,Naturaleza,Positivo,One of the best parks in the city of Loja,2020-09-03
151,One of the best parks in loja,Naturaleza,Positivo,One of the best parks in Loja,2019-05-06
152,One of the best places that reveal the lojana identity,Infraestructura,Positivo,One of the best places that reveal the Lojana identity,2017-06-18
153,One of the best places in my beautiful ecuador,Infraestructura,Positivo,One of the best places in my beautiful Ecuador,2021-07-10
154,One of the best places in the city,Infraestructura,Positivo,One of the best places in the city,2021-08-25
156,One of the best theaters in ecuador,Gastronomía,Positivo,One of the best theaters in Ecuador,2022-09-03
157,One of the most beautiful places in loja,Infraestructura,Positivo,One of the most beautiful places in Loja.,2022-08-26
159,One of the places that characterizes it and makes the city touristy,Infraestructura,Neutro,One of the places that characterizes it and makes the city touristy.,2019-08-22
160,One of the places you should visit if you go to loja,Infraestructura,Neutro,One of the places you should visit if you go to Loja,2019-08-27
161,One of the places to visit when you are in the city,Infraestructura,Neutro,"One of the places to visit when you are in the city, the architecture is beautiful and the nearby monuments are striking.",2023-01-04
161,The architecture is beautiful and the nearby monuments are striking,Ubicación,Positivo,"One of the places to visit when you are in the city, the architecture is beautiful and the nearby monuments are striking.",2023-01-04
162,One of the very wonderful places that loja has,Infraestructura,Neutro,One of the very wonderful places that Loja has,2020-12-07
163,One of the most representative places in loja,Infraestructura,Neutro,One of the most representative places in Loja.,2022-01-26
164,One of the most interesting places to visit in loja,Infraestructura,Neutro,"One of the most interesting places to visit in Loja, the people are very friendly and the exhibitions are very interesting. It is not very big but what it has is very emblematic for the city. It tells with eloquence and organization the history and musical development of the city along with its main exponents, in addition to having music playing throughout the route.",2018-10-05
164,The people are very friendly and the exhibitions are very interesting,Atención,Positivo,"One of the most interesting places to visit in Loja, the people are very friendly and the exhibitions are very interesting. It is not very big but what it has is very emblematic for the city. It tells with eloquence and organization the history and musical development of the city along with its main exponents, in addition to having music playing throughout the route.",2018-10-05
164,Not very big but what it has is very emblematic for the city,Ubicación,Negativo,"One of the most interesting places to visit in Loja, the people are very friendly and the exhibitions are very interesting. It is not very big but what it has is very emblematic for the city. It tells with eloquence and organization the history and musical development of the city along with its main exponents, in addition to having music playing throughout the route.",2018-10-05
164,It tells with eloquence and organization the history and musical development of the city along with its main exponents,Ubicación,Neutro,"One of the most interesting places to visit in Loja, the people are very friendly and the exhibitions are very interesting. It is not very big but what it has is very emblematic for the city. It tells with eloquence and organization the history and musical development of the city along with its main exponents, in addition to having music playing throughout the route.",2018-10-05
164,In addition to having music playing throughout the route,Infraestructura,Neutro,"One of the most interesting places to visit in Loja, the people are very friendly and the exhibitions are very interesting. It is not very big but what it has is very emblematic for the city. It tells with eloquence and organization the history and musical development of the city along with its main exponents, in addition to having music playing throughout the route.",2018-10-05
165,One of the most interesting places in loja,Infraestructura,Neutro,One of the most interesting places in Loja. The way of life of cloistered mothers and their precepts are known. Also the history of Loja. The guide is a quite enlightened character and leaves nothing in doubt. Very good Museos,2020-03-10
165,The guide is a quite enlightened character and leaves nothing in doubt,Infraestructura,Negativo,One of the most interesting places in Loja. The way of life of cloistered mothers and their precepts are known. Also the history of Loja. The guide is a quite enlightened character and leaves nothing in doubt. Very good Museos,2020-03-10
166,One of the most beautiful places in loja,Infraestructura,Positivo,One of the most beautiful places in Loja.,2022-10-01
167,One of the icons of our city,Ubicación,Neutro,One of the icons of our city..,2019-10-29
169,One of the most beautiful attractions of the city,Ubicación,Positivo,"One of the most beautiful attractions of the city, its architecture, history, design and conservation. Excellent",2023-12-05
174,Unique and surrounded by an unparalleled landscape,Naturaleza,Neutro,Unique and surrounded by an unparalleled landscape.,2020-02-21
175,Only theater so complete,Gastronomía,Neutro,Only theater so complete... Only public institution with high standards and quality of service.,2022-04-17
175,Only public institution with high standards and quality of service,Atención,Neutro,Only theater so complete... Only public institution with high standards and quality of service.,2022-04-17
184,Its domes can be seen in the distance,Naturaleza,Neutro,A. Nice church well lit at night. Its domes can be seen in the distance.,2020-03-10
185,One of many trips to the wind farm brought us fog,Ubicación,Neutro,One of many trips to the wind farm brought us fog,2024-03-13
186,A unique view,Naturaleza,Neutro,A unique view,2018-02-13
187,A magnificent view of the central area of ​​the city,Naturaleza,Neutro,A magnificent view of the central area of ​​the city....,2019-01-10
188,A magnificent view,Naturaleza,Neutro,A magnificent view,2021-11-06
189,An impressive view,Naturaleza,Neutro,An impressive view,2022-08-11
190,A beautiful view,Naturaleza,Positivo,a beautiful view,2021-03-07
193,It has a clock that lights up in a special way at night,Infraestructura,Neutro,"A very beautiful Tower, it has a clock that lights up in a special way at night, it is in the historic center of the city and belongs to the obligatory route for tourists who like the history and colonial art of the republican cities, along with the Iglesias of San Sebastian. IG: edwinelgrafo",2023-10-23
193,In the historic center of the city and belongs to the obligatory route for tourists who like the history and colonial art of the republican cities,Ubicación,Neutro,"A very beautiful Tower, it has a clock that lights up in a special way at night, it is in the historic center of the city and belongs to the obligatory route for tourists who like the history and colonial art of the republican cities, along with the Iglesias of San Sebastian. IG: edwinelgrafo",2023-10-23
195,A very nice and clean place as well as pleasant,Infraestructura,Positivo,"A cultural representation of Loja, a very nice and clean place as well as pleasant.",2022-03-21
196,A door worthy of a beautiful and beautiful city,Precio,Positivo,A door worthy of a beautiful and beautiful city.,2021-06-22
198,A central location and in its surroundings many restaurants and various shops,Gastronomía,Neutro,A small meeting square... a central location and in its surroundings many restaurants and various shops,2019-11-19
199,A very clean square and a place to sit and watch the people pass by and watch the pigeons and birds,Infraestructura,Positivo,A very clean square and a place to sit and watch the people pass by and watch the pigeons and birds.,2021-09-18
200,A very beautiful square surrounded by trees and a beautiful gothic style church,Naturaleza,Positivo,A very beautiful square surrounded by trees and a beautiful Gothic style church,2018-10-02
201,A very beautiful square with space for family recreation,Gastronomía,Positivo,A very beautiful square with space for family recreation.,2019-01-14
203,Quiet square and around it there are several places to go,Infraestructura,Neutro,"A very nice, quiet square and around it there are several places to go.",2024-04-13
204,Clean and tidy square,Infraestructura,Positivo,"A very nice, clean and tidy square, plus every Thursday there are cultural events, concerts, etc.",2018-01-27
205,One of the places to visit that should be on your list,Infraestructura,Neutro,"A very beautiful square, with a lot of history. One of the places to visit that should be on your list.",2022-11-06
206,A very nice square and always clean,Infraestructura,Positivo,A very nice square and always clean.,2017-04-14
207,A very nice square to visit and sightsee,Naturaleza,Positivo,A very nice square to visit and sightsee.,2021-10-05
208,Also on days like valentine's day or women's day fairs are held,Naturaleza,Neutro,"A very beautiful square with the clock on the tower and a stage where artistic shows are held, recently remodeled, also on days like Valentine's Day or Women's Day fairs are held",2019-03-16
210,Small but there are several cultural events and a natural environment is preserved,Naturaleza,Neutro,"A very cozy square, it is small but there are several cultural events and a natural environment is preserved. It is one of the busiest in the city. And the architecture of the church attracts tourists and locals.",2019-02-12
